name,module_name,value,updated_at
syria,Persons awaiting registration,10939,2011-03-09
syria,Persons awaiting registration,80517,2011-02-26
syria,Persons awaiting registration,69265,2010-06-04
syria,Persons awaiting registration,69265,2010-06-03
syria,Persons awaiting registration,182935,2010-10-21
syria,Persons awaiting registration,65100,2010-06-15
syria,Persons awaiting registration,80844,2011-03-08
syria,Persons awaiting registration,40058,2010-07-16
syria,Persons awaiting registration,40058,2010-07-15
syria,Persons awaiting registration,65708,2010-06-11
syria,Persons awaiting registration,80911,2011-03-05
syria,Persons awaiting registration,180004,2010-10-29
syria,Persons awaiting registration,180004,2010-11-01
syria,Persons awaiting registration,36536,2010-07-21
syria,Persons awaiting registration,35365,2010-08-28
syria,Persons awaiting registration,35365,2010-08-30
syria,Persons awaiting registration,35365,2010-08-31
syria,Persons awaiting registration,180085,2010-11-17
syria,Persons awaiting registration,117334,2010-12-15
syria,Persons awaiting registration,117334,2010-12-09
syria,Persons awaiting registration,80913,2011-03-04
syria,Persons awaiting registration,80413,2011-02-23
syria,Persons awaiting registration,180584,2010-10-21
syria,Persons awaiting registration,180584,2010-10-27
syria,Persons awaiting registration,180584,2010-10-26
syria,Persons awaiting registration,177939,2010-11-08
syria,Persons awaiting registration,177939,2010-11-09
syria,Persons awaiting registration,177939,2010-11-04
syria,Persons awaiting registration,177939,2010-11-05
syria,Persons awaiting registration,32535,2010-09-15
syria,Persons awaiting registration,35360,2010-09-02
syria,Persons awaiting registration,35360,2010-09-06
syria,Persons awaiting registration,35360,2010-09-03
syria,Persons awaiting registration,35360,2010-09-09
syria,Persons awaiting registration,35360,2010-09-08
syria,Persons awaiting registration,35360,2010-09-01
syria,Persons awaiting registration,35360,2010-09-07
syria,Persons awaiting registration,184143,2010-10-20
syria,Persons awaiting registration,184143,2010-10-19
syria,Persons awaiting registration,80351,2011-02-18
syria,Persons awaiting registration,179373,2010-11-12
syria,Persons awaiting registration,40859,2010-07-13
syria,Persons awaiting registration,80540,2011-02-22
syria,Persons awaiting registration,178687,2010-11-12
syria,Persons awaiting registration,178687,2010-11-11
syria,Persons awaiting registration,30940,2010-09-17
syria,Persons awaiting registration,30940,2010-09-20
syria,Persons awaiting registration,80691,2011-03-03
syria,Persons awaiting registration,29782,2010-08-13
syria,Persons awaiting registration,29782,2010-08-16
syria,Persons awaiting registration,29782,2010-08-17
syria,Persons awaiting registration,28236,2010-09-23
syria,Persons awaiting registration,33455,2010-09-14
syria,Persons awaiting registration,33455,2010-09-10
syria,Persons awaiting registration,33455,2010-09-13
syria,Persons awaiting registration,55646,2010-06-30
syria,Persons awaiting registration,80795,2011-03-02
syria,Persons awaiting registration,178487,2010-10-12
syria,Persons awaiting registration,178487,2010-10-13
syria,Persons awaiting registration,178487,2010-10-08
syria,Persons awaiting registration,66714,2010-06-08
syria,Persons awaiting registration,70272,2010-06-02
syria,Persons awaiting registration,38383,2010-07-16
syria,Persons awaiting registration,28118,2010-08-10
syria,Persons awaiting registration,66226,2010-06-10
syria,Persons awaiting registration,70521,2010-06-01
syria,Persons awaiting registration,117010,2010-12-07
syria,Persons awaiting registration,28976,2010-09-22
syria,Persons awaiting registration,33342,2010-08-23
syria,Persons awaiting registration,33342,2010-08-24
syria,Persons awaiting registration,33342,2010-08-20
syria,Persons awaiting registration,55916,2010-06-27
syria,Persons awaiting registration,55916,2010-06-29
syria,Persons awaiting registration,58908,2010-06-17
syria,Persons awaiting registration,80215,2011-02-25
syria,Persons awaiting registration,29224,2010-08-04
syria,Persons awaiting registration,184772,2010-09-30
syria,Persons awaiting registration,184772,2010-10-01
syria,Persons awaiting registration,145085,2010-11-17
syria,Persons awaiting registration,183171,2010-10-15
syria,Persons awaiting registration,57960,2010-06-18
syria,Persons awaiting registration,57960,2010-06-18
syria,Persons awaiting registration,179383,2010-11-02
syria,Persons awaiting registration,56331,2010-06-23
syria,Persons awaiting registration,56331,2010-06-23
syria,Persons awaiting registration,145028,2010-11-30
syria,Persons awaiting registration,80528,2011-02-19
syria,Persons awaiting registration,56606,2010-06-22
syria,Persons awaiting registration,28672,2010-08-12
syria,Persons awaiting registration,28566,2010-08-11
syria,Persons awaiting registration,30130,2010-09-21
syria,Persons awaiting registration,81559,2011-02-09
syria,Persons awaiting registration,81624,2011-01-11
syria,Persons awaiting registration,45503,2010-07-06
syria,Persons awaiting registration,68088,2010-06-04
syria,Persons awaiting registration,34512,2010-08-24
syria,Persons awaiting registration,118411,2010-12-17
syria,Persons awaiting registration,187687,2010-10-13
syria,Persons awaiting registration,37247,2010-07-18
syria,Persons awaiting registration,30135,2010-07-29
syria,Persons awaiting registration,29623,2010-08-03
syria,Persons awaiting registration,29623,2010-07-30
syria,Persons awaiting registration,116624,2011-01-11
syria,Persons awaiting registration,117590,2010-12-30
syria,Persons awaiting registration,43600,2010-07-08
syria,Persons awaiting registration,34501,2010-08-26
syria,Persons awaiting registration,117307,2010-12-09
syria,Persons awaiting registration,186585,2010-09-29
syria,Persons awaiting registration,186585,2010-09-28
syria,Persons awaiting registration,56118,2010-06-25
syria,Persons awaiting registration,28780,2010-08-06
syria,Persons awaiting registration,28780,2010-08-09
syria,Persons awaiting registration,180028,2010-11-16
syria,Persons awaiting registration,117727,2010-12-23
syria,Persons awaiting registration,145185,2010-11-18
syria,Persons awaiting registration,145185,2010-11-22
syria,Persons awaiting registration,145185,2010-11-24
syria,Persons awaiting registration,27226,2010-09-24
syria,Persons awaiting registration,27226,2010-09-27
syria,Persons awaiting registration,117683,2010-12-22
syria,Persons awaiting registration,31066,2010-09-16
syria,Persons awaiting registration,182352,2010-10-01
syria,Persons awaiting registration,182352,2010-10-06
syria,Persons awaiting registration,35340,2010-07-22
syria,Persons awaiting registration,64135,2010-06-16
syria,Persons awaiting registration,182521,2010-10-01
syria,Persons awaiting registration,145788,2010-12-03
syria,Persons awaiting registration,145435,2010-12-01
syria,Persons awaiting registration,36997,2010-07-20
syria,Persons awaiting registration,42976,2010-07-09
syria,Persons awaiting registration,145225,2010-11-25
syria,Persons awaiting registration,49579,2010-06-30
syria,Persons awaiting registration,32822,2010-08-19
syria,Persons awaiting registration,179377,2010-11-16
syria,Persons awaiting registration,178534,2010-11-02
syria,Persons awaiting registration,34824,2010-08-27
syria,Persons awaiting registration,29237,2010-08-05
syria,Persons awaiting registration,40870,2010-07-14
syria,Persons awaiting registration,32314,2010-08-18
syria,Persons awaiting registration,56451,2010-06-20
syria,Persons awaiting registration,35948,2010-07-23
syria,Persons awaiting registration,66580,2010-06-09
syria,Registered Syrian Refugees,3901050,2011-03-10
syria,Registered Syrian Refugees,103474,2008-07-04
syria,Registered Syrian Refugees,777592,2009-03-02
syria,Registered Syrian Refugees,2089473,2009-10-20
syria,Registered Syrian Refugees,2787395,2010-06-09
syria,Registered Syrian Refugees,3218302,2010-12-23
syria,Registered Syrian Refugees,3218302,2010-12-27
syria,Registered Syrian Refugees,389020,2008-11-22
syria,Registered Syrian Refugees,1616693,2009-07-15
syria,Registered Syrian Refugees,206353,2008-09-03
syria,Registered Syrian Refugees,2867672,2010-07-08
syria,Registered Syrian Refugees,213671,2008-09-10
syria,Registered Syrian Refugees,557290,2009-01-17
syria,Registered Syrian Refugees,3754509,2011-03-09
syria,Registered Syrian Refugees,262423,2008-10-03
syria,Registered Syrian Refugees,1558395,2009-06-29
syria,Registered Syrian Refugees,3001535,2010-09-17
syria,Registered Syrian Refugees,153028,2008-08-13
syria,Registered Syrian Refugees,1499819,2009-06-18
syria,Registered Syrian Refugees,2966920,2010-09-02
syria,Registered Syrian Refugees,211932,2008-09-06
