name,module_name,module_type,value,updated_at
car,"Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",49113,"2015-03-03 10:30:59"
car,"Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",50281,"2015-02-03 19:22:56"
car,"Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",58662,"2014-12-12 13:52:15"
car,"Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",61244,"2014-11-18 12:11:27"
car,"Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",61371,"2014-11-10 16:03:08"
car,"Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",62636,"2014-09-18 13:30:04"
car,"Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",65568,"2014-09-02 17:03:36"
car,"Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",67514,"2014-08-26 12:55:17"
car,"Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",83757,"2014-08-20 11:46:52"
car,"Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",87700,"2014-07-22 20:15:52"
car,"Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",103400,"2014-07-22 11:57:34"
car,"Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",103000,"2014-07-17 16:47:05"
car,"Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",111500,"2014-06-25 11:06:29"
car,"Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",126600,"2014-06-12 09:13:20"
car,"Estimated number of Internally Displaced Persons in Bangui","Total Population & Demogrpahy",129800,"2014-05-22 11:33:41"
car,"Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",436256,"2015-03-03 10:34:18"
car,"Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",442495,"2015-02-03 19:21:43"
car,"Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",625000,2014-03-25
car,"Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",437395,"2014-12-12 13:56:42"
car,"Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",430000,"2014-11-26 10:37:35"
car,"Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",430000,"2014-11-18 12:12:43"
car,"Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",410000,"2014-11-18 13:38:21"
car,"Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",410000,"2014-11-10 16:58:06"
car,"Estimated number of Internally Displaced Persons in CAR","Total Population & Demogrpahy",487636,"2014-09-18 13:31:43"
