"Registered.Syrian.Refugees","date"
NA,"2013-02-28"
NA,"2013-11-30"
NA,"2013-12-04"
NA,"2013-12-05"
NA,"2013-12-08"
NA,"2013-12-09"
NA,"2013-12-10"
NA,"2013-12-16"
NA,"2013-12-17"
NA,"2013-12-18"
NA,"2013-12-24"
NA,"2013-12-31"
NA,"2014-01-08"
NA,"2014-01-15"
NA,"2014-01-21"
NA,"2014-01-28"
NA,"2014-02-04"
NA,"2014-02-06"
NA,"2014-02-09"
NA,"2014-02-11"
NA,"2014-02-18"
NA,"2014-02-19"
NA,"2014-02-25"
NA,"2014-02-28"
NA,"2014-03-08"
NA,"2014-03-17"
NA,"2014-03-19"
NA,"2014-03-22"
NA,"2014-03-25"
NA,"2014-03-31"
NA,"2014-04-01"
NA,"2014-04-03"
NA,"2014-04-05"
NA,"2014-04-08"
NA,"2014-04-11"
NA,"2014-04-14"
NA,"2014-04-15"
NA,"2014-04-17"
NA,"2014-04-18"
NA,"2014-04-22"
NA,"2014-04-23"
NA,"2014-04-25"
NA,"2014-04-28"
NA,"2014-04-29"
NA,"2014-04-30"
NA,"2014-05-08"
NA,"2014-05-11"
NA,"2014-05-15"
NA,"2014-05-18"
NA,"2014-05-22"
NA,"2014-05-25"
NA,"2014-05-26"
NA,"2014-06-09"
NA,"2014-06-12"
NA,"2014-06-15"
NA,"2014-06-25"
NA,"2014-06-27"
NA,"2014-07-06"
NA,"2014-07-13"
NA,"2014-07-17"
NA,"2014-07-21"
NA,"2014-07-22"
NA,"2014-07-27"
NA,"2014-08-03"
NA,"2014-08-05"
NA,"2014-08-10"
NA,"2014-08-20"
NA,"2014-08-21"
NA,"2014-08-24"
NA,"2014-08-26"
NA,"2014-08-31"
NA,"2014-09-02"
NA,"2014-09-07"
NA,"2014-09-10"
NA,"2014-09-14"
NA,"2014-09-18"
NA,"2014-09-23"
NA,"2014-09-30"
NA,"2014-10-05"
NA,"2014-10-12"
NA,"2014-10-28"
NA,"2014-10-30"
NA,"2014-11-02"
NA,"2014-11-04"
NA,"2014-11-10"
NA,"2014-11-17"
NA,"2014-11-18"
NA,"2014-11-24"
NA,"2014-11-26"
NA,"2014-11-28"
NA,"2014-11-30"
NA,"2014-12-07"
NA,"2014-12-12"
NA,"2014-12-14"
NA,"2014-12-21"
NA,"2015-01-04"
NA,"2015-01-31"
NA,"2015-02-03"
NA,"2015-02-20"
NA,"2015-03-01"
NA,"2015-03-03"
NA,"2014-05-17"
NA,"2014-05-31"
NA,"2014-06-05"
NA,"2014-06-23"
NA,"2014-06-26"
NA,"2014-06-30"
NA,"2014-07-07"
NA,"2014-07-10"
NA,"2014-07-31"
NA,"2014-10-13"
NA,"2014-10-31"
NA,"2014-12-31"
NA,"2015-02-28"
NA,"2011-12-31"
NA,"2012-03-31"
NA,"2012-04-30"
NA,"2012-05-31"
NA,"2012-06-30"
NA,"2012-07-31"
NA,"2012-08-31"
NA,"2012-09-30"
NA,"2012-11-09"
NA,"2012-12-04"
NA,"2013-01-16"
NA,"2013-02-03"
NA,"2013-04-01"
NA,"2013-04-03"
NA,"2013-05-07"
NA,"2013-06-05"
NA,"2013-07-01"
NA,"2013-08-02"
NA,"2013-09-02"
NA,"2013-10-01"
NA,"2013-11-01"
NA,"2013-12-01"
NA,"2014-01-01"
NA,"2014-01-31"
NA,"2015-01-15"
NA,"2015-01-20"
NA,"2015-02-11"
NA,"2015-02-15"
NA,"2015-02-22"
NA,"2015-03-06"
NA,"2013-12-15"
NA,"2013-12-19"
NA,"2013-12-20"
NA,"2013-12-21"
NA,"2013-12-23"
NA,"2013-12-25"
NA,"2013-12-26"
NA,"2013-12-27"
NA,"2013-12-28"
NA,"2013-12-29"
NA,"2013-12-30"
NA,"2014-01-02"
NA,"2014-01-03"
NA,"2014-01-04"
NA,"2014-01-05"
NA,"2014-01-06"
NA,"2014-01-07"
NA,"2014-01-09"
NA,"2014-01-10"
NA,"2014-01-11"
NA,"2014-01-12"
NA,"2014-01-13"
NA,"2014-01-14"
NA,"2014-01-16"
NA,"2014-01-17"
NA,"2014-01-18"
NA,"2014-01-19"
NA,"2014-01-20"
NA,"2014-01-22"
NA,"2014-01-23"
NA,"2014-01-24"
NA,"2014-01-25"
NA,"2014-01-26"
NA,"2014-01-27"
NA,"2014-01-29"
NA,"2014-01-30"
NA,"2014-02-01"
NA,"2014-02-02"
NA,"2014-02-03"
NA,"2014-02-05"
NA,"2014-02-07"
NA,"2014-02-08"
NA,"2014-02-10"
NA,"2014-02-12"
NA,"2014-02-13"
NA,"2014-02-14"
NA,"2014-02-15"
NA,"2014-02-16"
NA,"2014-02-17"
NA,"2014-02-20"
NA,"2014-02-21"
NA,"2014-02-22"
NA,"2014-02-23"
NA,"2014-02-24"
NA,"2014-02-26"
NA,"2014-02-27"
NA,"2014-03-01"
NA,"2014-03-02"
NA,"2014-03-03"
NA,"2014-03-04"
NA,"2014-03-05"
NA,"2014-03-06"
NA,"2014-03-07"
NA,"2014-03-09"
NA,"2014-03-10"
NA,"2014-03-11"
NA,"2014-03-12"
NA,"2014-03-13"
NA,"2014-03-14"
NA,"2014-03-15"
NA,"2014-03-16"
NA,"2014-03-18"
NA,"2014-03-20"
NA,"2014-03-21"
NA,"2014-03-23"
NA,"2014-03-24"
NA,"2014-03-26"
NA,"2014-03-27"
NA,"2014-03-28"
NA,"2014-03-29"
NA,"2014-03-30"
NA,"2014-04-02"
NA,"2014-04-04"
NA,"2014-04-06"
NA,"2014-04-09"
NA,"2014-04-27"
NA,"2014-05-06"
NA,"2014-05-07"
NA,"2014-05-14"
NA,"2014-05-19"
NA,"2014-05-21"
NA,"2014-05-23"
NA,"2014-05-27"
NA,"2014-05-28"
NA,"2014-05-29"
NA,"2014-05-30"
NA,"2014-06-04"
NA,"2014-06-06"
NA,"2014-06-16"
NA,"2014-06-18"
NA,"2014-06-19"
NA,"2014-06-20"
NA,"2014-06-22"
NA,"2014-07-01"
NA,"2014-07-04"
NA,"2014-07-09"
NA,"2014-07-14"
NA,"2014-07-18"
NA,"2014-07-20"
NA,"2014-07-24"
NA,"2014-07-25"
NA,"2014-07-28"
NA,"2014-07-29"
NA,"2014-08-01"
NA,"2014-08-04"
NA,"2014-08-07"
NA,"2014-08-08"
NA,"2014-08-12"
NA,"2014-08-14"
NA,"2014-08-15"
NA,"2014-08-17"
NA,"2014-08-19"
NA,"2014-08-22"
NA,"2014-08-27"
NA,"2014-08-29"
NA,"2014-09-03"
NA,"2014-09-05"
NA,"2014-09-09"
NA,"2014-09-11"
NA,"2014-09-12"
NA,"2014-09-16"
NA,"2014-09-19"
NA,"2014-09-21"
NA,"2014-09-25"
NA,"2014-09-26"
NA,"2014-10-01"
NA,"2014-10-02"
NA,"2014-10-03"
NA,"2014-10-06"
NA,"2014-10-07"
NA,"2014-10-08"
NA,"2014-10-10"
NA,"2014-10-14"
NA,"2014-10-15"
NA,"2014-10-16"
NA,"2014-10-19"
NA,"2014-10-22"
NA,"2014-10-23"
NA,"2014-10-26"
NA,"2014-10-27"
NA,"2014-11-05"
NA,"2014-11-06"
NA,"2014-11-07"
NA,"2014-11-09"
NA,"2014-11-11"
NA,"2014-11-13"
NA,"2014-11-14"
NA,"2014-11-16"
NA,"2014-11-20"
NA,"2014-11-21"
NA,"2014-11-23"
NA,"2014-11-25"
NA,"2014-11-27"
NA,"2014-12-02"
NA,"2014-12-04"
NA,"2014-12-05"
NA,"2014-12-08"
NA,"2014-12-09"
NA,"2014-12-15"
NA,"2014-12-16"
NA,"2014-12-18"
NA,"2014-12-19"
NA,"2014-12-23"
NA,"2014-12-26"
NA,"2014-12-30"
NA,"2015-01-01"
NA,"2015-01-06"
NA,"2015-01-08"
NA,"2015-01-11"
NA,"2015-01-12"
NA,"2015-01-13"
NA,"2015-01-14"
NA,"2015-01-16"
NA,"2015-01-18"
NA,"2015-01-19"
NA,"2015-02-06"
NA,"2015-02-12"
NA,"2015-02-13"
NA,"2015-02-17"
NA,"2015-02-19"
NA,"2015-02-23"
NA,"2015-02-24"
NA,"2015-02-26"
NA,"2015-02-27"
NA,"2015-03-02"
NA,"2015-03-08"
NA,"2015-03-10"
NA,"2015-03-12"
NA,"2015-03-13"
8000,"2011-12-16"
9500,"2012-01-15"
12249,"2012-01-19"
12386,"2012-01-24"
18676,"2012-01-27"
18861,"2012-01-31"
18704,"2012-02-10"
19654,"2012-02-14"
20043,"2012-02-17"
20437,"2012-02-24"
21767,"2012-02-29"
21959,"2012-03-01"
22101,"2012-03-02"
22131,"2012-03-07"
23317,"2012-03-15"
24142,"2012-03-16"
25334,"2012-03-22"
25830,"2012-03-29"
29599,"2012-04-16"
45011,"2012-04-18"
45183,"2012-04-20"
45183,"2012-04-21"
46589,"2012-04-23"
46959,"2012-04-24"
54978,"2012-04-25"
55754,"2012-04-26"
56116,"2012-04-27"
58754,"2012-05-01"
59350,"2012-05-02"
59841,"2012-05-03"
60167,"2012-05-06"
60410,"2012-05-07"
60736,"2012-05-08"
61291,"2012-05-09"
62133,"2012-05-11"
63354,"2012-05-14"
64551,"2012-05-16"
65445,"2012-05-17"
66410,"2012-05-20"
66667,"2012-05-21"
67539,"2012-05-23"
68311,"2012-05-24"
69004,"2012-05-27"
69410,"2012-05-28"
69860,"2012-05-29"
70206,"2012-05-30"
73630,"2012-06-01"
75444,"2012-06-04"
76445,"2012-06-05"
76778,"2012-06-06"
78579,"2012-06-07"
79360,"2012-06-10"
79754,"2012-06-11"
80878,"2012-06-12"
82904,"2012-06-14"
87269,"2012-06-21"
91998,"2012-06-22"
92358,"2012-06-24"
92814,"2012-06-25"
94497,"2012-06-26"
95991,"2012-06-27"
97378,"2012-06-29"
99892,"2012-07-03"
101912,"2012-07-04"
103474,"2012-07-05"
104196,"2012-07-06"
106691,"2012-07-10"
106945,"2012-07-11"
110879,"2012-07-12"
111268,"2012-07-14"
111268,"2012-07-15"
111847,"2012-07-16"
115014,"2012-07-18"
115014,"2012-07-19"
122304,"2012-07-20"
122541,"2012-07-22"
123246,"2012-07-23"
124421,"2012-07-24"
126380,"2012-07-25"
126657,"2012-07-26"
126881,"2012-07-29"
128081,"2012-07-30"
130780,"2012-08-01"
130613,"2012-08-02"
130820,"2012-08-03"
131307,"2012-08-06"
133843,"2012-08-07"
137106,"2012-08-08"
138410,"2012-08-09"
142658,"2012-08-10"
